class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
FP 115-01,3,MW,11:15am - 12:30pm,Knott Studios Computer Lb 206,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 675, 'endTime': 750}], 'Tu': [], 'W': [{'startTime': 675, 'endTime': 750}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Kevin Kegham,,spring2026,"['Spring', 'Fall']",Editing I
FP 115-02,3,TuTh,10:00am - 11:15am,Knott Studios Computer Lb 206,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 600, 'endTime': 675}], 'W': [], 'Th': [{'startTime': 600, 'endTime': 675}], 'F': [], 'Sa': [], 'Su': []}}",Phillip Linson,,spring2026,"['Spring', 'Fall']",Editing I
FP 115-03,3,TuTh,11:30am - 12:45pm,Knott Studios Computer Lb 206,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 690, 'endTime': 765}], 'W': [], 'Th': [{'startTime': 690, 'endTime': 765}], 'F': [], 'Sa': [], 'Su': []}}",Phillip Linson,,spring2026,"['Spring', 'Fall']",Editing I
FP 115-05,3,Tu,1:00pm - 3:50pm,Knott Studios Computer Lb 206,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 950}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Jason Rosenfield,,spring2026,"['Spring', 'Fall']",Editing I
FP 115-06,3,M,1:00pm - 3:50pm,Knott Studios Computer Lb 206,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 780, 'endTime': 950}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Kevin Kegham,,spring2026,"['Spring', 'Fall']",Editing I
FP 133-01,3,MW,11:30am - 12:45pm,Knott Studios 208,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 690, 'endTime': 765}], 'Tu': [], 'W': [{'startTime': 690, 'endTime': 765}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Dan Pavelin,99,spring2026,"['Spring', 'Fall']",Audio Techniques
FP 133-02,3,TuTh,10:00am - 11:15am,Knott Studios 208,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 600, 'endTime': 675}], 'W': [], 'Th': [{'startTime': 600, 'endTime': 675}], 'F': [], 'Sa': [], 'Su': []}}",Dan Pavelin,99,spring2026,"['Spring', 'Fall']",Audio Techniques
FP 133-05,3,M,7:00pm - 9:50pm,Knott Studios 208,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 1140, 'endTime': 1310}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Alex Graham,82,spring2026,"['Spring', 'Fall']",Audio Techniques
FP 133-03,3,Th,4:00pm - 6:50pm,Knott Studios 208,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1130}], 'F': [], 'Sa': [], 'Su': []}}",Kc Wayland,,spring2026,"['Spring', 'Fall']",Audio Techniques
FP 133-04,3,M,4:00pm - 6:50pm,Knott Studios 208,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1130}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",John Chalfant,,spring2026,"['Spring', 'Fall']",Audio Techniques
FP 237-03,3,Th,1:00pm - 3:50pm,CSW The Cine Stage 104,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 780, 'endTime': 950}], 'F': [], 'Sa': [], 'Su': []}}",Jurg Walther,72,spring2026,"['Spring', 'Fall']",Cinematography I
FP 237-01,3,W,7:00pm - 9:50pm,CSW The Cine Stage 104,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 1140, 'endTime': 1310}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Tara Niami,,spring2026,"['Spring', 'Fall']",Cinematography I
FP 237-02,3,Th,7:00pm - 9:50pm,CSW The Cine Stage 104,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 1140, 'endTime': 1310}], 'F': [], 'Sa': [], 'Su': []}}",Katherine Ketcham,,spring2026,"['Spring', 'Fall']",Cinematography I
FP 237-04,3,M,4:00pm - 6:50pm,CSW The Cine Stage 104,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1130}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Moises Perez,,spring2026,"['Spring', 'Fall']",Cinematography I
FP 239-01,3,Tu,4:00pm - 6:50pm,DMAC Flex Classroom 102,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1130}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Erin Li,42,spring2026,"['Spring', 'Fall']",Directing I
FP 239-02,3,Tu,7:00pm - 9:50pm,DMAC Flex Classroom 102,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 1140, 'endTime': 1310}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Tom Provost,,spring2026,"['Spring', 'Fall']",Directing I
FP 280-01,3,Th,4:00pm - 6:50pm,633 West Palm Room 126B Stage,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1130}], 'F': [], 'Sa': [], 'Su': []}}",Erin Li,42,spring2026,"['Spring', 'Fall']",Production I
FP 280-02,3,Th,7:00pm - 9:50pm,Knott Studios Auditorium 111,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 1140, 'endTime': 1310}], 'F': [], 'Sa': [], 'Su': []}}",Tom Provost,,spring2026,"['Spring', 'Fall']",Production I
FP 293-01,3,MW,10:00am - 11:15am,Knott Studios 132,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 600, 'endTime': 675}], 'Tu': [], 'W': [{'startTime': 600, 'endTime': 675}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",John Chichester,,spring2026,"['Spring', 'Fall']",Production Design I
FP 293-02,3,Th,1:00pm - 3:50pm,DMAC Flex Classroom 102,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 780, 'endTime': 950}], 'F': [], 'Sa': [], 'Su': []}}",Kevin Conran,,spring2026,"['Spring', 'Fall']",Production Design I
FP 293-03,3,Tu,10:00am - 12:50pm,Knott Studios Production Desig,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 600, 'endTime': 770}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Richard Mays,,spring2026,"['Spring', 'Fall']",Production Design I
FP 315-01,3,Th,4:00pm - 6:50pm,Knott Studios Seminar 119,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1130}], 'F': [], 'Sa': [], 'Su': []}}",Jason Rosenfield,,spring2026,"['Spring', 'Fall']",Editing II
FP 318-02,3,M,4:00pm - 6:50pm,633 West Palm Room 126B Stage,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1130}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Tamar Halpern,,spring2026,"['Spring', 'Fall']",Performance for Directors
FP 325-01,3,W,1:00pm - 3:50pm,Knott Studios Foley Stage 155,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 950}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Harry Cheney,86,spring2026,"['Spring', 'Fall']",Art and Craft of Foley and ADR
