class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
HSCI 420-01,3,Tu,7:00pm - 9:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 1140, 'endTime': 1310}], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",April Forrest,,spring2026,"['Spring', 'Fall']",Health and Spirituality
HSCI 430-01,3,W,4:00pm - 6:50pm,Crean Musculosketal Lab 117,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 960, 'endTime': 1130}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Lucie Leung-Gurung,,spring2026,"['Spring', 'Fall']",Community Health Equity
HSCI 440-01,3,W,1:00pm - 3:50pm,Crean Hall PT Anatomy Lab 120,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 950}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Caroline Wilson,73,spring2026,['Spring'],Applied Human Neurophysiology
HSCI 490-80,,TBA,TBA,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': None}",Allison Fisher,,spring2026,"['Fall', 'Spring']",Independent Internship
HSCI 498-01,3,M,4:00pm - 6:50pm,Crean Musculosketal Lab 117,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1130}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Manjari Murali,65,spring2026,['Spring'],Health Sciences Capstone
HSCI 498-02,3,M,7:00pm - 9:50pm,Crean Musculosketal Lab 117,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 1140, 'endTime': 1310}], 'Tu': [], 'W': [], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Manjari Murali,65,spring2026,['Spring'],Health Sciences Capstone
HSCI 498-03,3,W,4:00pm - 6:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 960, 'endTime': 1130}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Michelle Rainer,,spring2026,['Spring'],Health Sciences Capstone
HSCI 498-04,3,W,7:00pm - 9:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 1140, 'endTime': 1310}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Michelle Rainer,,spring2026,['Spring'],Health Sciences Capstone
HSCI 498-05,3,F,1:00pm - 3:50pm,Crean Musculosketal Lab 117,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [], 'F': [{'startTime': 780, 'endTime': 950}], 'Sa': [], 'Su': []}}",Eric Sternlicht,53,spring2026,['Spring'],Health Sciences Capstone
HSCI 498-06,3,W,4:00pm - 6:50pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 960, 'endTime': 1130}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",James Herkimer,,spring2026,['Spring'],Health Sciences Capstone
HUM 102-01,3,TuTh,11:30am - 12:45pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 690, 'endTime': 765}], 'W': [], 'Th': [{'startTime': 690, 'endTime': 765}], 'F': [], 'Sa': [], 'Su': []}}",Ruben Espinoza,74,spring2026,"['Spring', 'Fall']",Introduction to Latinx and Latin American Studies
HUM 102-02,3,TuTh,1:00pm - 2:15pm,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 855}], 'W': [], 'Th': [{'startTime': 780, 'endTime': 855}], 'F': [], 'Sa': [], 'Su': []}}",Ruben Espinoza,74,spring2026,"['Spring', 'Fall']",Introduction to Latinx and Latin American Studies
HUM 103-01,3,MWF,8:00am - 8:50am,TBA,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 480, 'endTime': 530}], 'Tu': [], 'W': [{'startTime': 480, 'endTime': 530}], 'Th': [], 'F': [{'startTime': 480, 'endTime': 530}], 'Sa': [], 'Su': []}}",Hector Martinez,80,spring2026,"['Spring', 'Fall']",Introduction to Ethnic Studies
